what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1308820208069
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1308820208072
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1308820208073
started,bundle,org.eclipse.ui.intro.universal,3.2.400.v20100517,"org.eclipse.ui.intro.universal",1308820208073
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1308820208073
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1308820208074
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1308820208075
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1308820208099
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1308820208100
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1308820208101
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1308820208101
started,bundle,org.eclipse.update.ui,3.2.300.v20100512,"org.eclipse.update.ui",1308820208161
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100730-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1308820208167
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100730-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1308820208167
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1308820208167
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100730-0100-e3x,"org.eclipse.mylyn.context.ui",1308820208169
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.1.v20100730-0100-e3x,"org.eclipse.mylyn.tasks.ui",1308820208171
started,bundle,com.aptana.ide.core,2.0.5.1278523018,"com.aptana.ide.core",1308820208172
started,bundle,com.aptana.ide.core.ui,2.0.5.1278523018,"com.aptana.ide.core.ui",1308820208173
started,bundle,com.aptana.ide.debug.core,2.0.0.1278523018,"com.aptana.ide.debug.core",1308820208173
started,bundle,com.aptana.ide.debug.ui,2.0.0.1254164293,"com.aptana.ide.debug.ui",1308820208175
started,bundle,com.aptana.ide.desktop.integration.protocolhandler,2.0.0.1278523018,"com.aptana.ide.desktop.integration.protocolhandler",1308820208418
started,bundle,com.aptana.ide.desktop.integration.server,2.0.0.1278523018,"com.aptana.ide.desktop.integration.server",1308820208421
started,bundle,com.aptana.ide.editors,2.0.5.1278523018,"com.aptana.ide.editors",1308820208421
started,bundle,com.aptana.ide.epl,2.0.0.1278523018,"com.aptana.ide.epl",1308820208422
started,bundle,com.aptana.ide.installer,2.0.5.1278523018,"com.aptana.ide.installer",1308820208422
started,bundle,com.aptana.ide.intro,2.0.0.1278523018,"com.aptana.ide.intro",1308820208423
started,bundle,com.aptana.ide.scripting,2.0.0.1278523018,"com.aptana.ide.scripting",1308820208424
started,bundle,com.aptana.ide.server.jetty,2.0.0.1278523018,"com.aptana.ide.server.jetty",1308820208424
started,bundle,com.aptana.ide.server.portal,2.0.0.1278523018,"com.aptana.ide.server.portal",1308820208425
started,bundle,com.aptana.ide.update,2.0.5.1278523018,"com.aptana.ide.update",1308820208426
started,bundle,com.aptana.ide.update.eclipse34,2.0.5.1278614541,"com.aptana.ide.update.eclipse34",1308820208426
started,bundle,com.aptana.ide.update.eclipse35,2.0.5.1278614541,"com.aptana.ide.update.eclipse35",1308820208427
started,bundle,com.aptana.ide.update.eclipse36,1.0.0.1278614541,"com.aptana.ide.update.eclipse36",1308820208427
started,bundle,com.aptana.ide.update.ui,2.0.0.1278614541,"com.aptana.ide.update.ui",1308820208428
started,bundle,com.aptana.radrails.intro,2.0.0.1278115714,"com.aptana.radrails.intro",1308820208428
started,bundle,com.aptana.rdt,1.3.1.1263228620,"com.aptana.rdt",1308820208429
started,bundle,org.eclipse.eclipsemonkey,2.0.5.1278445773,"org.eclipse.eclipsemonkey",1308820208429
started,bundle,org.eclipse.eclipsemonkey.doms,2.0.0.1277749615,"org.eclipse.eclipsemonkey.doms",1308820208430
started,bundle,org.eclipse.eclipsemonkey.lang.javascript,2.0.0.1277749615,"org.eclipse.eclipsemonkey.lang.javascript",1308820208430
started,bundle,org.eclipse.eclipsemonkey.lang.ruby,1.2.2.1252597864,"org.eclipse.eclipsemonkey.lang.ruby",1308820208431
started,bundle,org.radrails.rails.core,1.3.1.1274114871,"org.radrails.rails.core",1308820208431
started,bundle,org.rubypeople.rdt.core,1.3.2.1271256971,"org.rubypeople.rdt.core",1308820208431
started,bundle,org.rubypeople.rdt.launching,1.3.0.1271861712,"org.rubypeople.rdt.launching",1308820208432
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1308820208432
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1308820208433
os,sysinfo,,,"macosx",1308820208436
arch,sysinfo,,,"x86_64",1308820208436
ws,sysinfo,,,"cocoa",1308820208436
locale,sysinfo,,,"en_US",1308820208436
processors,sysinfo,,,"2",1308820208436
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1308820208436
java.runtime.version,sysinfo,,,"1.6.0_24-b07-334-10M3326",1308820208436
java.specification.name,sysinfo,,,"Java Platform API Specification",1308820208436
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1308820208436
java.specification.version,sysinfo,,,"1.6",1308820208436
java.vendor,sysinfo,,,"Apple Inc.",1308820208436
java.version,sysinfo,,,"1.6.0_24",1308820208436
java.vm.info,sysinfo,,,"mixed mode",1308820208436
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1308820208436
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1308820208436
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1308820208436
java.vm.specification.version,sysinfo,,,"1.0",1308820208436
java.vm.vendor,sysinfo,,,"Apple Inc.",1308820208436
java.vm.version,sysinfo,,,"19.1-b02-334",1308820208437
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1308820209809
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1308820209861
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1308820209878
closed,view,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.internal.introview",1308820209915
error,log,,,"Error logged from Debug Core: ",1308820211019
error,log,,,"Error logged from Debug Core: ",1308820211026
started,bundle,org.rubypeople.rdt.debug.core,1.3.2.1263228620,"org.rubypeople.rdt.debug.core",1308820216197
started,bundle,org.rubypeople.rdt.debug.ui,1.3.2.1260312246,"org.rubypeople.rdt.debug.ui",1308820221199
started,bundle,com.aptana.rdt.ui,1.3.2.1254332735,"com.aptana.rdt.ui",1308820221204
started,bundle,org.rubypeople.rdt.ui,1.2.4.1271774459,"org.rubypeople.rdt.ui",1308820221263
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1308820221276
started,bundle,org.rubypeople.rdt.testunit,1.2.4.1254241359,"org.rubypeople.rdt.testunit",1308820221736
started,bundle,org.radrails.rails.ui,1.3.1.1274114871,"org.radrails.rails.ui",1308820221765
started,bundle,org.radrails.db.core,2.0.0.1274114871,"org.radrails.db.core",1308820222806
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1308820247433
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1308820248607
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1308820248632
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1308820248632
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1308820248633
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1308820248635
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1308820248636
stopped,bundle,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.adt",1308820248644
stopped,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1308820248645
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1308820248646
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1308820248647
stopped,bundle,com.python.pydev.codecompletion,1.6.1.2010080312,"com.python.pydev.codecompletion",1308820248676
stopped,bundle,com.python.pydev.refactoring,1.6.1.2010080312,"com.python.pydev.refactoring",1308820248695
stopped,bundle,com.python.pydev.analysis,1.6.1.2010080312,"com.python.pydev.analysis",1308820248702
stopped,bundle,com.python.pydev.debug,1.6.1.2010080312,"com.python.pydev.debug",1308820248705
stopped,bundle,com.python.pydev.fastparser,1.6.1.2010080312,"com.python.pydev.fastparser",1308820248706
stopped,bundle,com.python.pydev,1.6.1.2010080312,"com.python.pydev",1308820248711
stopped,bundle,org.python.pydev.django,1.6.1.2010080312,"org.python.pydev.django",1308820248712
stopped,bundle,org.python.pydev.customizations,1.6.1.2010080312,"org.python.pydev.customizations",1308820248716
stopped,bundle,org.python.pydev.debug,1.6.1.2010080312,"org.python.pydev.debug",1308820248723
stopped,bundle,org.python.pydev.mylyn,0.3,"org.python.pydev.mylyn",1308820248727
stopped,bundle,org.python.pydev.red_core,1.6.1.2010080312,"org.python.pydev.red_core",1308820248752
stopped,bundle,org.python.pydev.refactoring,1.6.1.2010080312,"org.python.pydev.refactoring",1308820248783
stopped,bundle,org.python.pydev,1.6.1.2010080312,"org.python.pydev",1308820248783
stopped,bundle,com.android.ide.eclipse.traceview,10.0.1.v201103111512-110841,"com.android.ide.eclipse.traceview",1308820248783
stopped,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1308820248783
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1308820248806
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.304.v201101251958,"org.eclipse.wst.xsd.ui",1308820248811
stopped,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1308820248813
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1308820248814
stopped,bundle,com.aptana.ide.debug.ui,2.0.0.1254164293,"com.aptana.ide.debug.ui",1308820248814
stopped,bundle,com.aptana.ide.desktop.integration,2.0.0.1253913567,"com.aptana.ide.desktop.integration",1308820248828
stopped,bundle,com.aptana.ide.desktop.integration.server,2.0.0.1278523018,"com.aptana.ide.desktop.integration.server",1308820248829
stopped,bundle,com.aptana.radrails.intro,2.0.0.1278115714,"com.aptana.radrails.intro",1308820248829
stopped,bundle,com.aptana.ide.documentation,2.0.0.1278523018,"com.aptana.ide.documentation",1308820248856
stopped,bundle,com.aptana.ide.editor.erb,1.2.3.1278449953,"com.aptana.ide.editor.erb",1308820248857
stopped,bundle,com.aptana.ide.reporting,2.0.0.1278614541,"com.aptana.ide.reporting",1308820248907
stopped,bundle,com.aptana.ide.scripting,2.0.0.1278523018,"com.aptana.ide.scripting",1308820248908
stopped,bundle,com.aptana.ide.editor.xml,2.0.0.1253913567,"com.aptana.ide.editor.xml",1308820248908
stopped,bundle,net.lucky_dip.hamleditor,0.6.1.1274114871,"net.lucky_dip.hamleditor",1308820248909
stopped,bundle,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editor.html",1308820248911
stopped,bundle,com.aptana.ide.editor.css,2.0.0.1257380403,"com.aptana.ide.editor.css",1308820248912
stopped,bundle,com.aptana.ide.js.docgen,2.0.0.1278523018,"com.aptana.ide.js.docgen",1308820248940
stopped,bundle,org.eclipse.eclipsemonkey.lang.javascript,2.0.0.1277749615,"org.eclipse.eclipsemonkey.lang.javascript",1308820248942
stopped,bundle,org.eclipse.eclipsemonkey.ui,2.0.0.1277749615,"org.eclipse.eclipsemonkey.ui",1308820248942
stopped,bundle,com.aptana.ide.editor.js,2.0.0.1278523018,"com.aptana.ide.editor.js",1308820248943
stopped,bundle,com.aptana.ide.editor.json,2.0.0.1278614541,"com.aptana.ide.editor.json",1308820248944
stopped,bundle,com.aptana.ide.editor.text,2.0.0.1253913567,"com.aptana.ide.editor.text",1308820248944
stopped,bundle,com.aptana.ide.editor.yaml,2.0.0.1255038335,"com.aptana.ide.editor.yaml",1308820248949
stopped,bundle,com.aptana.ide.editors.codeassist,2.0.0.1278523018,"com.aptana.ide.editors.codeassist",1308820248949
stopped,bundle,com.aptana.ide.editors.ui,2.0.0.1278614541,"com.aptana.ide.editors.ui",1308820248954
stopped,bundle,com.aptana.ide.samples.ui,2.0.0.1278614541,"com.aptana.ide.samples.ui",1308820248963
stopped,bundle,com.aptana.radrails.cloud,1.0.2.1274114401,"com.aptana.radrails.cloud",1308820248964
stopped,bundle,org.radrails.server.ui,1.3.0.1274114871,"org.radrails.server.ui",1308820248965
stopped,bundle,org.radrails.rails.ui,1.3.1.1274114871,"org.radrails.rails.ui",1308820248965
stopped,bundle,org.radrails.server.core,1.2.2.1274114871,"org.radrails.server.core",1308820248965
stopped,bundle,org.radrails.db.core,2.0.0.1274114871,"org.radrails.db.core",1308820248965
stopped,bundle,org.radrails.rails.core,1.3.1.1274114871,"org.radrails.rails.core",1308820248965
stopped,bundle,com.aptana.ide.intro,2.0.0.1278523018,"com.aptana.ide.intro",1308820248969
stopped,bundle,com.aptana.ide.server.jetty.ui,2.0.0.1278614541,"com.aptana.ide.server.jetty.ui",1308820248970
stopped,bundle,com.aptana.ide.server.ui,2.0.0.1278523018,"com.aptana.ide.server.ui",1308820248971
stopped,bundle,com.aptana.ide.logging,2.0.0.1278523018,"com.aptana.ide.logging",1308820248972
stopped,bundle,com.aptana.ide.snippets,2.0.0.1277749615,"com.aptana.ide.snippets",1308820248972
stopped,bundle,com.aptana.ide.editors,2.0.5.1278523018,"com.aptana.ide.editors",1308820248972
stopped,bundle,com.aptana.ide.installer,2.0.5.1278523018,"com.aptana.ide.installer",1308820248973
stopped,bundle,com.aptana.ide.search,2.0.0.1278523018,"com.aptana.ide.search",1308820248973
stopped,bundle,com.aptana.ide.search.epl,2.0.0.1278523018,"com.aptana.ide.search.epl",1308820248993
stopped,bundle,com.aptana.ide.server.portal,2.0.0.1278523018,"com.aptana.ide.server.portal",1308820248993
stopped,bundle,com.aptana.ide.update.portal,2.0.0.1278614541,"com.aptana.ide.update.portal",1308820248994
stopped,bundle,com.aptana.ide.update.ui,2.0.0.1278614541,"com.aptana.ide.update.ui",1308820248994
stopped,bundle,com.aptana.ide.server.jetty,2.0.0.1278523018,"com.aptana.ide.server.jetty",1308820248994
stopped,bundle,com.aptana.ide.syncing.doms,2.0.5.1278614541,"com.aptana.ide.syncing.doms",1308820249008
stopped,bundle,com.aptana.ide.syncing.ui,2.0.5.1278614541,"com.aptana.ide.syncing.ui",1308820249015
stopped,bundle,com.aptana.ide.syncing.core,2.0.5.1278614541,"com.aptana.ide.syncing.core",1308820249017
stopped,bundle,com.aptana.ide.ui.secureftp,2.0.3.1278035782,"com.aptana.ide.ui.secureftp",1308820249018
stopped,bundle,com.aptana.ide.ui.ftp,2.0.3.1278614541,"com.aptana.ide.ui.ftp",1308820249018
stopped,bundle,com.aptana.ide.pathtools,2.0.1.1278614541,"com.aptana.ide.pathtools",1308820249019
stopped,bundle,com.aptana.ide.ui.io,2.0.5.1278614541,"com.aptana.ide.ui.io",1308820249025
stopped,bundle,com.aptana.radrails.scripting,1.2.2.1274114871,"com.aptana.radrails.scripting",1308820249105
stopped,bundle,org.eclipse.eclipsemonkey.doms,2.0.0.1277749615,"org.eclipse.eclipsemonkey.doms",1308820249106
stopped,bundle,org.eclipse.eclipsemonkey.lang.ruby,1.2.2.1252597864,"org.eclipse.eclipsemonkey.lang.ruby",1308820249106
stopped,bundle,org.eclipse.eclipsemonkey,2.0.5.1278445773,"org.eclipse.eclipsemonkey",1308820249106
stopped,bundle,com.aptana.ide.core.ui,2.0.5.1278523018,"com.aptana.ide.core.ui",1308820249106
stopped,bundle,com.aptana.rdt.rake,1.3.2.1254241359,"com.aptana.rdt.rake",1308820249128
stopped,bundle,com.aptana.rdt.ui,1.3.2.1254332735,"com.aptana.rdt.ui",1308820249129
stopped,bundle,org.rubypeople.rdt.branding,1.3.0.1254869270,"org.rubypeople.rdt.branding",1308820249129
stopped,bundle,org.rubypeople.rdt.testunit,1.2.4.1254241359,"org.rubypeople.rdt.testunit",1308820249129
stopped,bundle,org.rubypeople.rdt.debug.ui,1.3.2.1260312246,"org.rubypeople.rdt.debug.ui",1308820249129
stopped,bundle,org.rubypeople.rdt.refactoring,1.2.2.1252686004,"org.rubypeople.rdt.refactoring",1308820249133
stopped,bundle,org.rubypeople.rdt.ui,1.2.4.1271774459,"org.rubypeople.rdt.ui",1308820249133
stopped,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1308820249136
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1308820249136
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1308820249136
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1308820249137
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1308820249139
stopped,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1308820249139
stopped,bundle,org.eclipse.egit.ui,0.11.3,"org.eclipse.egit.ui",1308820249170
stopped,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1308820249170
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100730-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1308820249170
stopped,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1308820249171
stopped,bundle,org.eclipse.mylyn.resources.ui,3.4.0.v20100730-0100-e3x,"org.eclipse.mylyn.resources.ui",1308820249171
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1308820249172
stopped,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100730-0100-e3x,"org.eclipse.mylyn.context.ui",1308820249172
stopped,bundle,org.eclipse.mylyn.help.ui,3.4.0.v20100730-0100-e3x,"org.eclipse.mylyn.help.ui",1308820249173
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.4.0.v20100804-0100-e3x,"org.eclipse.mylyn.tasks.bugs",1308820249174
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.4.1.v20100730-0100-e3x,"org.eclipse.mylyn.tasks.ui",1308820249174
stopped,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1308820249175
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1308820249212
stopped,bundle,com.aptana.rdt,1.3.1.1263228620,"com.aptana.rdt",1308820249212
stopped,bundle,org.rubypeople.rdt.launching,1.3.0.1271861712,"org.rubypeople.rdt.launching",1308820249212
stopped,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1308820249222
stopped,bundle,org.eclipse.mylyn.wikitext.ui,1.3.0.v20100608-0100-e3x,"org.eclipse.mylyn.wikitext.ui",1308820249358
stopped,bundle,org.python.pydev.jython,1.6.1.2010080312,"org.python.pydev.jython",1308820249370
stopped,bundle,org.python.pydev.parser,1.6.1.2010080312,"org.python.pydev.parser",1308820249380
